1 [[1, 1], [1, 1]]
3 [[0, 1], [1, 1]]
4 [[0, 0], [1, 1]]
5 [[0, 1], [0, 1]]
8 [[0, 0], [0, 1]]
9 [[0, 0], [1, 1]]
10 [[0, 1], [0, 1]]
11 [[1, 0], [1, 1]]
12 [[0, 0], [1, 1]]
13 [[0, 1], [0, 1]]
14 [[0, 1], [1, 0]]
16 [[0, 1], [0, 1]]
19 [[0, 1], [0, 1]]
23 [[0, 0], [0, 1]]
24 [[0, 0], [1, 1]]
25 [[0, 0], [1, 1]]
26 [[0, 0], [1, 1]]
27 [[0, 0], [1, 1]]
28 [[0, 1], [0, 1]]
29 [[1, 0], [0, 1]]
31 [[1, 0], [0, 1]]
34 [[0, 1], [0, 1]]
38 [[0, 0], [0, 0]]
39 [[0, 0], [0, 0]]
40 [[0, 1], [1, 0]]
41 [[0, 0], [0, 0]]
42 [[0, 0], [0, 0]]
43 [[1, 0], [0, 1]]
44 [[0, 0], [0, 0]]
45 [[0, 0], [0, 0]]
46 [[0, 0], [0, 0]]
47 [[0, 0], [0, 1]]
48 [[0, 0], [1, 1]]
49 [[0, 1], [0, 1]]
50 [[0, 0], [1, 1]]
51 [[0, 0], [1, 1]]
52 [[0, 1], [0, 1]]
53 [[0, 0], [1, 1]]
54 [[0, 0], [1, 1]]
55 [[0, 1], [0, 1]]
56 [[0, 0], [1, 1]]
57 [[0, 0], [1, 1]]
58 [[0, 0], [1, 1]]
59 [[0, 0], [1, 1]]
60 [[0, 0], [1, 1]]
61 [[0, 0], [1, 1]]
62 [[0, 1], [0, 1]]
63 [[1, 2, 0], [0, 1, 2], [2, 0, 1]]
65 [[0, 1], [0, 1]]
66 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
68 [[0, 1], [0, 1]]
72 [[0, 1], [0, 1]]
73 [[1, 2, 0], [2, 0, 1], [0, 1, 2]]
75 [[0, 1], [0, 1]]
78 [[0, 1], [0, 1]]
82 [[0, 1], [0, 1]]
86 [[0, 1], [0, 1]]
90 [[0, 1], [0, 1]]
94 [[0, 1], [0, 1]]
99 [[0, 0], [0, 1]]
100 [[0, 0], [1, 1]]
101 [[0, 0], [1, 0]]
102 [[0, 0], [1, 1]]
103 [[0, 0], [1, 1]]
104 [[0, 0], [1, 0]]
105 [[0, 0], [1, 0]]
106 [[0, 0], [1, 0]]
107 [[0, 0], [1, 1]]
108 [[0, 0], [1, 1]]
109 [[0, 0], [1, 1]]
110 [[0, 0], [1, 0]]
111 [[0, 0], [1, 1]]
112 [[0, 0], [1, 1]]
113 [[0, 0], [1, 1]]
114 [[0, 1], [0, 1]]
115 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
117 [[1, 0], [1, 0]]
118 [[1, 2, 0], [2, 0, 1], [0, 1, 2]]
120 [[1, 0], [1, 0]]
124 [[1, 0], [1, 0]]
125 [[0, 1, 2], [1, 2, 0], [2, 0, 1]]
127 [[1, 0], [1, 0]]
130 [[1, 0], [1, 0]]
134 [[1, 0], [1, 0]]
138 [[0, 1], [0, 1]]
142 [[0, 1], [0, 1]]
146 [[1, 0], [1, 0]]
151 [[0, 0], [0, 1]]
152 [[0, 0], [1, 1]]
153 [[0, 1], [0, 1]]
154 [[0, 0], [1, 1]]
155 [[0, 0], [1, 1]]
156 [[0, 1], [0, 1]]
157 [[0, 0], [1, 1]]
158 [[0, 0], [1, 1]]
159 [[0, 0], [1, 1]]
160 [[0, 0], [1, 1]]
161 [[1, 1], [0, 0]]
162 [[0, 0], [1, 1]]
163 [[0, 0], [1, 1]]
164 [[0, 0], [1, 1]]
165 [[0, 0], [1, 1]]
166 [[0, 1], [0, 1]]
167 [[3, 2, 3, 1], [3, 2, 3, 0], [1, 0, 1, 1], [2, 2, 0, 0]]
168 [[0, 0, 1, 1], [2, 2, 3, 3], [0, 0, 1, 1], [2, 2, 3, 3]]
